Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,EstimatedHistogramReservoir,3,1,0,37
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,EstimatedHistogramReservoir,3,1,1,42
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,size,3,1,0,47
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,update,3,1,1,53
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,getSnapshot,3,1,0,59
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,clear,3,1,0,65
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,HistogramSnapshot,4,1,1,75
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,getValue,3,1,1,82
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,getMax,3,1,0,88
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,getMin,3,1,0,94
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,getMean,3,1,0,100
teste2,org.apache.cassandra.metrics,HistogramSnapshot,HistogramSnapshot,4,1,1,75
teste2,org.apache.cassandra.metrics,HistogramSnapshot,getValue,3,1,1,82
teste2,org.apache.cassandra.metrics,HistogramSnapshot,getMax,3,1,0,88
teste2,org.apache.cassandra.metrics,HistogramSnapshot,getMin,3,1,0,94
teste2,org.apache.cassandra.metrics,HistogramSnapshot,getMean,3,1,0,100
teste2,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,2,49
teste2,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,3,60
teste2,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,2,72
teste2,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,13,2,3,83
teste2,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,4,1,3,101
teste2,org.apache.cassandra.metrics,LatencyMetrics,addNano,7,2,1,115
teste2,org.apache.cassandra.metrics,LatencyMetrics,release,10,2,0,127
teste2,org.apache.cassandra.metrics,BufferPoolMetrics,BufferPoolMetrics,9,1,0,37
teste2,org.apache.cassandra.metrics,BufferPoolMetrics,getValue,3,1,0,43
teste2,org.apache.cassandra.metrics,MetricNameFactory,createMetricName,0,1,1,23
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,ThreadPoolMetrics,29,1,3,56
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,69
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,78
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,85
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,92
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,release,8,1,0,99
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,23,7,4,110
teste2,org.apache.cassandra.metrics,SEPMetrics,SEPMetrics,29,1,3,47
teste2,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,59
teste2,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,66
teste2,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,76
teste2,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,83
teste2,org.apache.cassandra.metrics,SEPMetrics,release,8,1,0,90
teste2,org.apache.cassandra.metrics,DroppedMessageMetrics,DroppedMessageMetrics,4,1,1,33
teste2,org.apache.cassandra.metrics,CASClientRequestMetrics,CASClientRequestMetrics,6,1,1,35
teste2,org.apache.cassandra.metrics,CASClientRequestMetrics,release,6,1,0,42
teste2,org.apache.cassandra.metrics,ClientRequestMetrics,ClientRequestMetrics,6,1,1,35
teste2,org.apache.cassandra.metrics,ClientRequestMetrics,release,6,1,0,44
teste2,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,22,4,1,54
teste2,org.apache.cassandra.metrics,CompactionMetrics,getValue,7,3,0,58
teste2,org.apache.cassandra.metrics,CompactionMetrics,getValue,5,2,0,73
teste2,org.apache.cassandra.metrics,CompactionMetrics,beginCompaction,4,1,1,85
teste2,org.apache.cassandra.metrics,CompactionMetrics,finishCompaction,6,1,1,92
teste2,org.apache.cassandra.metrics,CompactionMetrics,getCompactions,3,1,0,101
teste2,org.apache.cassandra.metrics,ClearableHistogram,ClearableHistogram,4,1,1,31
teste2,org.apache.cassandra.metrics,ClearableHistogram,clear,3,1,0,43
teste2,org.apache.cassandra.metrics,ViewWriteMetrics,ViewWriteMetrics,12,1,1,34
teste2,org.apache.cassandra.metrics,ViewWriteMetrics,getValue,3,1,0,41
teste2,org.apache.cassandra.metrics,ViewWriteMetrics,release,7,1,0,48
teste2,org.apache.cassandra.metrics,ConnectionMetrics,ConnectionMetrics,59,1,2,65
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,80
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,87
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,94
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,101
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,108
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,115
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,122
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,129
teste2,org.apache.cassandra.metrics,ConnectionMetrics,getValue,3,1,0,136
teste2,org.apache.cassandra.metrics,ConnectionMetrics,release,12,1,0,144
teste2,org.apache.cassandra.metrics,ClientMetrics,ClientMetrics,2,1,0,34
teste2,org.apache.cassandra.metrics,ClientMetrics,addCounter,13,1,2,38
teste2,org.apache.cassandra.metrics,ClientMetrics,getValue,8,1,0,42
teste2,org.apache.cassandra.metrics,CacheMetrics,CacheMetrics,47,1,2,53
teste2,org.apache.cassandra.metrics,CacheMetrics,getValue,3,1,0,65
teste2,org.apache.cassandra.metrics,CacheMetrics,getRatio,3,1,0,74
teste2,org.apache.cassandra.metrics,CacheMetrics,getRatio,3,1,0,82
teste2,org.apache.cassandra.metrics,CacheMetrics,getRatio,3,1,0,89
teste2,org.apache.cassandra.metrics,CacheMetrics,getRatio,3,1,0,96
teste2,org.apache.cassandra.metrics,CacheMetrics,getValue,3,1,0,103
teste2,org.apache.cassandra.metrics,CacheMetrics,getValue,3,1,0,110
teste2,org.apache.cassandra.metrics,StreamingMetrics,get,8,2,1,44
teste2,org.apache.cassandra.metrics,StreamingMetrics,StreamingMetrics,5,1,1,55
teste2,org.apache.cassandra.metrics,TableMetrics,getHistogram,0,1,1,166
teste2,org.apache.cassandra.metrics,TableMetrics,combineHistograms,26,6,2,169
teste2,org.apache.cassandra.metrics,TableMetrics,TableMetrics,345,39,1,204
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,222
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,229
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,236
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,243
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,250
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,260
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,270
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,8,1,0,283
teste2,org.apache.cassandra.metrics,TableMetrics,getHistogram,3,1,1,287
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,298
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,8,1,0,310
teste2,org.apache.cassandra.metrics,TableMetrics,getHistogram,3,1,1,314
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,11,3,0,324
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,13,4,0,340
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,364
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,371
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,7,3,0,380
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,7,2,0,392
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,7,3,0,404
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,7,2,0,416
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,10,2,0,428
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,12,3,0,442
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,460
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,470
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,10,3,0,480
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,12,4,0,495
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,10,3,0,514
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,12,4,0,529
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,548
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,558
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,568
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,5,2,0,578
teste2,org.apache.cassandra.metrics,TableMetrics,getRatio,3,1,0,591
teste2,org.apache.cassandra.metrics,TableMetrics,getNumerator,5,2,0,597
teste2,org.apache.cassandra.metrics,TableMetrics,getDenominator,5,2,0,605
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,3,1,0,635
teste2,org.apache.cassandra.metrics,TableMetrics,updateSSTableIterated,3,1,1,649
teste2,org.apache.cassandra.metrics,TableMetrics,release,18,2,0,654
teste2,org.apache.cassandra.metrics,TableMetrics,createTableGauge,12,2,2,679
teste2,org.apache.cassandra.metrics,TableMetrics,getValue,7,2,0,687
teste2,org.apache.cassandra.metrics,TableMetrics,createTableGauge,3,1,3,699
teste2,org.apache.cassandra.metrics,TableMetrics,createTableGauge,7,2,4,708
teste2,org.apache.cassandra.metrics,TableMetrics,createTableCounter,3,1,1,718
teste2,org.apache.cassandra.metrics,TableMetrics,createTableCounter,16,3,2,727
