Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
teste2,org.apache.cassandra.metrics,EstimatedHistogramReservoir,2,0,11,11,43,11,0,0,0.18181818181818182,0,2,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,27
teste2,org.apache.cassandra.metrics,HistogramSnapshot,1,0,5,5,19,5,0,0,0.0,1,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,71
teste2,org.apache.cassandra.metrics,LatencyMetrics,6,2,7,7,88,10,0,0,0.2857142857142857,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/LatencyMetrics.java,32
teste2,org.apache.cassandra.metrics,BufferPoolMetrics,3,2,2,2,20,2,0,0,1.0,0,1,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/BufferPoolMetrics.java,27
teste2,org.apache.cassandra.metrics,MetricNameFactory,0,0,1,0,8,1,0,0,-1.0,0,1,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/MetricNameFactory.java,21
teste2,org.apache.cassandra.metrics,ThreadPoolMetrics,7,6,7,7,96,13,0,0,0.8571428571428571,3,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/ThreadPoolMetrics.java,33
teste2,org.apache.cassandra.metrics,SEPMetrics,7,6,6,6,70,6,0,0,0.8333333333333334,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/SEPMetrics.java,27
teste2,org.apache.cassandra.metrics,HintsServiceMetrics,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/HintsServiceMetrics.java,20
teste2,org.apache.cassandra.metrics,DroppedMessageMetrics,1,1,1,1,13,1,0,0,0.0,0,1,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/DroppedMessageMetrics.java,25
teste2,org.apache.cassandra.metrics,CASClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/CASClientRequestMetrics.java,27
teste2,org.apache.cassandra.metrics,ClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/ClientRequestMetrics.java,29
teste2,org.apache.cassandra.metrics,CompactionMetrics,6,5,6,6,58,12,0,0,0.3333333333333333,1,4,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/CompactionMetrics.java,35
teste2,org.apache.cassandra.metrics,ClearableHistogram,1,0,2,2,17,2,0,0,0.0,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/ClearableHistogram.java,24
teste2,org.apache.cassandra.metrics,ViewWriteMetrics,3,3,3,3,24,3,0,0,0.6666666666666666,0,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/ViewWriteMetrics.java,27
teste2,org.apache.cassandra.metrics,ReadRepairMetrics,4,3,0,0,9,0,0,0,-1.0,3,0,/Users/armandosoaressousa/Desktop/Doutorado/tools/Designite/teste2/src/java/org/apache/cassandra/metrics/ReadRepairMetrics.java,24
