Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
v-3-1-0,org.apache.cassandra.metrics,EstimatedHistogramReservoir,EstimatedHistogramReservoir,Magic Number,The method contains a magic number: 164,37
v-3-1-0,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,Long Statement,The length of the statement "latency=Metrics.timer(factory.createMetricName(namePrefix + "Latency")`aliasFactory.createMetricName(namePrefix + "Latency"));" is 126.,83
v-3-1-0,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,Long Statement,The length of the statement "totalLatency=Metrics.counter(factory.createMetricName(namePrefix + "TotalLatency")`aliasFactory.createMetricName(namePrefix + "TotalLatency"));" is 143.,83
v-3-1-0,org.apache.cassandra.metrics,LatencyMetrics,addNano,Magic Number,The method contains a magic number: 1000,115
v-3-1-0,org.apache.cassandra.metrics,LatencyMetrics,release,Long Statement,The length of the statement "Metrics.remove(factory.createMetricName(namePrefix + "TotalLatency")`aliasFactory.createMetricName(namePrefix + "TotalLatency"));" is 129.,127
v-3-1-0,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,Long Statement,The length of the statement "String name=String.format("org.apache.cassandra.metrics:type=ThreadPools`path=%s`scope=%s`name=%s"`jmxPath`poolName`metricName);" is 128.,115
v-3-1-0,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,Missing default,The following switch statement is missing a default case: switch (metricName) {,115
v-3-1-0,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxThreadPools,Long Statement,The length of the statement "Set<ObjectName> threadPoolObjectNames=mbeanServerConn.queryNames(new ObjectName("org.apache.cassandra.metrics:type=ThreadPools`*")`null);" is 137.,146
v-3-1-0,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs : Keyspace.open(keyspaceName).getColumnFamilyStores()) n+=cfs.getCompactionStrategyManager().getEstimatedRemainingTasks();" is 150.,54
v-3-1-0,org.apache.cassandra.metrics,CompactionMetrics,getValue,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs : Keyspace.open(keyspaceName).getColumnFamilyStores()) n+=cfs.getCompactionStrategyManager().getEstimatedRemainingTasks();" is 150.,58
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Complex Method,Cyclomatic complexity of the method is 39,204
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field estimatedPartitionSizeHistogram is 31.,204
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field recentBloomFilterFalsePositives is 31.,204
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Identifier,The length of the field compressionMetadataOffHeapMemoryUsed is 36.,204
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Method,The method has 345 lines of code.,204
v-3-1-0,org.apache.cassandra.metrics,TableMetrics,TableMetrics,Long Statement,The length of the statement "for ( ColumnFamilyStore cfs2 : cfs.concatWithIndexes()) size+=cfs2.getTracker().getView().getCurrentMemtable().getAllocator().onHeap().owns();" is 142.,204
