Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,2,49
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,3,60
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,3,1,2,72
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,13,2,3,83
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,LatencyMetrics,4,1,3,101
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,addNano,7,2,1,115
v-3-11-11,org.apache.cassandra.metrics,LatencyMetrics,release,10,2,0,127
v-3-11-11,org.apache.cassandra.metrics,BufferPoolMetrics,BufferPoolMetrics,9,1,0,36
v-3-11-11,org.apache.cassandra.metrics,BufferPoolMetrics,getValue,3,1,0,42
v-3-11-11,org.apache.cassandra.metrics,MetricNameFactory,createMetricName,0,1,1,23
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,ThreadPoolMetrics,29,1,3,62
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,75
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,84
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,91
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getValue,3,1,0,98
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,release,8,1,0,105
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxMetric,23,7,4,115
v-3-11-11,org.apache.cassandra.metrics,ThreadPoolMetrics,getJmxThreadPools,16,2,1,146
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,SEPMetrics,29,1,3,47
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,59
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,66
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,76
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,getValue,3,1,0,83
v-3-11-11,org.apache.cassandra.metrics,SEPMetrics,release,8,1,0,90
v-3-11-11,org.apache.cassandra.metrics,DroppedMessageMetrics,DroppedMessageMetrics,3,1,1,41
v-3-11-11,org.apache.cassandra.metrics,DroppedMessageMetrics,DroppedMessageMetrics,5,1,1,46
v-3-11-11,org.apache.cassandra.metrics,CASClientRequestMetrics,CASClientRequestMetrics,6,1,1,35
v-3-11-11,org.apache.cassandra.metrics,CASClientRequestMetrics,release,6,1,0,43
v-3-11-11,org.apache.cassandra.metrics,ClientRequestMetrics,ClientRequestMetrics,6,1,1,35
v-3-11-11,org.apache.cassandra.metrics,ClientRequestMetrics,release,6,1,0,44
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,CompactionMetrics,56,12,1,58
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getValue,7,3,0,62
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getValue,31,9,0,79
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getValue,5,2,0,130
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,beginCompaction,3,1,1,142
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,finishCompaction,5,1,1,147
v-3-11-11,org.apache.cassandra.metrics,CompactionMetrics,getCompactions,3,1,0,154
v-3-11-11,org.apache.cassandra.metrics,ClearableHistogram,ClearableHistogram,4,1,1,31
v-3-11-11,org.apache.cassandra.metrics,ClearableHistogram,clear,3,1,0,43
v-3-11-11,org.apache.cassandra.metrics,ViewWriteMetrics,ViewWriteMetrics,12,1,1,34
v-3-11-11,org.apache.cassandra.metrics,ViewWriteMetrics,getValue,3,1,0,42
v-3-11-11,org.apache.cassandra.metrics,ViewWriteMetrics,release,7,1,0,49
