Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
v-3-2-0,org.apache.cassandra.metrics,EstimatedHistogramReservoir,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,LatencyMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,LatencyMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: latency; totalLatency; parents; factory; aliasFactory; namePrefix
v-3-2-0,org.apache.cassandra.metrics,BufferPoolMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,BufferPoolMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; misses; size
v-3-2-0,org.apache.cassandra.metrics,MetricNameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,ThreadPoolMetrics,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.875
v-3-2-0,org.apache.cassandra.metrics,ThreadPoolMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activeTasks; totalBlocked; currentBlocked; completedTasks; pendingTasks; maxPoolSize; factory
v-3-2-0,org.apache.cassandra.metrics,SEPMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,SEPMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: activeTasks; totalBlocked; currentBlocked; completedTasks; pendingTasks; maxPoolSize; factory
v-3-2-0,org.apache.cassandra.metrics,HintsServiceMetrics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
v-3-2-0,org.apache.cassandra.metrics,HintsServiceMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,DroppedMessageMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,DroppedMessageMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: dropped; internalDroppedLatency; crossNodeDroppedLatency
v-3-2-0,org.apache.cassandra.metrics,CASClientRequestMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,CASClientRequestMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: contention; conditionNotMet; unfinishedCommit
v-3-2-0,org.apache.cassandra.metrics,ClientRequestMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,ClientRequestMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: timeouts; unavailables; failures
v-3-2-0,org.apache.cassandra.metrics,CompactionMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; compactions; pendingTasks; pendingTasksByTableName; completedTasks; totalCompactionsCompleted; bytesCompacted
v-3-2-0,org.apache.cassandra.metrics,CompactionMetrics,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: HintsStore; StorageService; VersionedValue; MessagingService; BootStrapper; RangeStreamer; Gossiper; FailureDetector; FileUtils; JVMStabilityInspector; DatabaseDescriptor; SSTableFormat; SSTableWriter; RowIndexEntry; DeletionTime; FBUtilities; FastByteOperations; BestHolder; ObjectSizes; ByteBufferUtil; Hex; UUIDGen; Schema; SystemKeyspace; QueryProcessor; ResultMessage; Rows; ResultSet; ResultMetadata; PagingState; Server; CBUtil; Event; TopologyChange; StatusChange; SchemaChange; Message; Frame; Header; ErrorMessage; MD5Digest; ClientWarn; SSLFactory; LatestEvent; AbstractType; CQL3Type; CollectionSerializer; ColumnIdentifier; Selector; AssignmentTestable; Collection; Selectable; WritetimeOrTTLSelector; LongType; Constants; DateType; TimestampType; TimestampSerializer; LongSerializer; Int32Type; Int32Serializer; SelectorFactories; AbstractFunctionSelector; SelectionColumnMapping; Lists; QueryOptions; UTF8Type; Json; AsciiType; Terms; Value; Appender; FieldSelector; BytesType; BytesSerializer; Clustering; ClusteringPrefix; Slice; Bound; RangeTombstone; CBuilder; Serializer; IndexMetadata; IndexTarget; LegacyLayout; CFMetaData; PartitionColumns; Columns; BTree; BTreeRemoval; BTreeSet; CreateTableStatement; CompactTables; MigrationManager; StageManager; MigrationTask; SchemaKeyspace; KeyspaceParams; ReplicationParams; UntypedResultSet; SelectStatement; Selection; RawSelector; CounterContext; CompactionManager; SSTableReader; Component; Descriptor; BigFormat; BigVersion; Directories; Component; BlacklistedDirectories; LifecycleTransaction; LogTransaction; SSTable; SnapshotDeletingTask; WindowsFailedSnapshotTracker; LogFile; LogRecord; CacheService; SinglePartitionReadCommand; Slices; ComponentOfSlice; Memtable; CommitLog; CommitLogArchiver; CommitLogDescriptor; CommitLogReplayer; CommitLogSegment; CLibrary; SerializationHelper; ColumnFilter; ColumnSubselection; CellPath; ReplayFilter; RandomAccessReader; MmappedRegions; CompressionMetadata; Ref; Keyspace; AbstractReplicationStrategy; TokenMetadata; ColumnFamilyStore; ViewManager; TemporalRow; LivenessInfo; TemporalCell; Conflicts; StorageProxy; HintsService; HintsDescriptor; HintsCatalog; SyncUtil; HintedHandOffManager; TriggerExecutor; PartitionUpdate; MutableDeletionInfo; EncodingStats; Rows; Row; Deletion; ComplexColumnData; ByteType; ByteSerializer; Cell; BufferCell; BTreeRow; Cells; Commit; Batch; Mutation; BatchlogManager; UUIDType; UUIDSerializer; TimeUUIDType; DataLimits; CQLLimits; Tracing; TraceState; TraceKeyspace; KeyspaceMetadata; Types; Maps; Putter; ViewUtils; LegacyBatchlogMigrator; AbstractReadExecutor; SpeculativeRetryParam; TableParams; CompactionParams; SizeTieredCompactionStrategy; AbstractCompactionStrategy; CompactionController; SimpleSSTableMultiWriter; LeveledCompactionStrategy; LeveledManifest; LeveledScanner; LocalMutationRunnable; CassandraIndex; RowFilter; Expression; Row; CassandraIndexFunctions; CompositeType; TypeParser; View; AbstractBounds; Token; PartitionPosition; Helpers; SecondaryIndexManager; View; ClientState; ThriftValidation; Attributes; Memory; BufferPool; Chunk; ActiveRepairService; TableMetrics; Group; ReadExecutionController; EmptyIterators; DataRange; CachedBTreePartition; ImmutableBTreePartition; AbstractBTreePartition; DeletionInfo; Slice; SerializationHeader; IndexSummary; DecoratedKey; GlobalTidy; DebuggableThreadPoolExecutor; IndexSummaryBuilder; CompactionInfo; AutoSavingCache; CompactionMetrics; CompactionStrategyManager; ReadQuery; QueryPager; StatementRestrictions; Indexes; PartitionRangeReadCommand; RowUpdateBuilder; Sets; Adder; DataResource; LegacyBound; LegacyCell; LegacyDeletionInfo; CellGrouper; Prepared; PartitionIterators; CompactionHistoryTabularData; ThriftServer; CassandraDaemon; LegacySchemaMigrator; UnfilteredRowIterators; UnfilteredRowMergeIterator; UDFunction; UDHelper; FunctionExecutionException; UDAggregate; GCInspector; StatusLogger; RepairMessage; ValidationRequest; RepairJobDesc; ValidationComplete; MerkleTrees; MerkleTree; Hashable; Inner; Leaf; SyncRequest; SyncComplete; AnticompactionRequest; PrepareMessage; SnapshotMessage; HintMessage; HintResponse; PrepareResponse; OutboundTcpConnection; TokenSerializer; StreamManager; StreamStateCompositeData; SessionInfoCompositeData; StreamSession; LoadBroadcaster; PendingRangeCalculatorService; SSTableLoader; TokenSerializer; SystemDistributedKeyspace; AuthKeyspace; Roles; RepairOption; HintsWriter; HintsBuffer
v-3-2-0,org.apache.cassandra.metrics,ClearableHistogram,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,ViewWriteMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,ViewWriteMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: viewReplicasAttempted; viewReplicasSuccess; viewWriteLatency
v-3-2-0,org.apache.cassandra.metrics,ReadRepairMetrics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: factory; repairedBlocking; repairedBackground; attempted
v-3-2-0,org.apache.cassandra.metrics,ReadRepairMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; repairedBlocking; repairedBackground; attempted
v-3-2-0,org.apache.cassandra.metrics,ConnectionMetrics,Multifaceted Abstraction,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 0.9090909090909091
v-3-2-0,org.apache.cassandra.metrics,ConnectionMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TYPE_NAME; totalTimeouts; address; largeMessagePendingTasks; largeMessageCompletedTasks; largeMessageDroppedTasks; smallMessagePendingTasks; smallMessageCompletedTasks; smallMessageDroppedTasks; gossipMessagePendingTasks; gossipMessageCompletedTasks; gossipMessageDroppedTasks; timeouts; factory
v-3-2-0,org.apache.cassandra.metrics,ClientMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; instance
v-3-2-0,org.apache.cassandra.metrics,CacheMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,CacheMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: capacity; hits; requests; hitRate; oneMinuteHitRate; fiveMinuteHitRate; fifteenMinuteHitRate; size; entries
v-3-2-0,org.apache.cassandra.metrics,StreamingMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TYPE_NAME; instances; activeStreamsOutbound; totalIncomingBytes; totalOutgoingBytes; incomingBytes; outgoingBytes
v-3-2-0,org.apache.cassandra.metrics,TableMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: EMPTY; memtableOnHeapSize; memtableOffHeapSize; memtableLiveDataSize; allMemtablesOnHeapSize; allMemtablesOffHeapSize; allMemtablesLiveDataSize; memtableColumnsCount; memtableSwitchCount; compressionRatio; estimatedPartitionSizeHistogram; estimatedPartitionCount; estimatedColumnCountHistogram; sstablesPerReadHistogram; readLatency; rangeLatency; writeLatency; pendingFlushes; pendingCompactions; liveSSTableCount; liveDiskSpaceUsed; totalDiskSpaceUsed; minPartitionSize; maxPartitionSize; meanPartitionSize; bloomFilterFalsePositives; recentBloomFilterFalsePositives; bloomFilterFalseRatio; recentBloomFilterFalseRatio; bloomFilterDiskSpaceUsed; bloomFilterOffHeapMemoryUsed; indexSummaryOffHeapMemoryUsed; compressionMetadataOffHeapMemoryUsed; keyCacheHitRate; tombstoneScannedHistogram; liveScannedHistogram; colUpdateTimeDeltaHistogram; viewLockAcquireTime; viewReadTime; trueSnapshotsSize; rowCacheHitOutOfRange; rowCacheHit; rowCacheMiss; casPrepare; casPropose; casCommit; coordinatorReadLatency; coordinatorScanLatency; waitingOnFreeMemtableSpace; factory; aliasFactory; globalFactory; globalAliasFactory; speculativeRetries; globalReadLatency; globalWriteLatency; globalRangeLatency; samplers; allTableMetrics; all; all; cf; all; cf; keyspaceName; tableName; isIndex; type; type
v-3-2-0,org.apache.cassandra.metrics,TableMetrics,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods
v-3-2-0,org.apache.cassandra.metrics,GetHistogram,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,TableHistogram,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,TableHistogram,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: all; cf
v-3-2-0,org.apache.cassandra.metrics,TableTimer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,TableTimer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: all; cf
v-3-2-0,org.apache.cassandra.metrics,TableMetricNameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,AllTableMetricNameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,StorageMetrics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: factory; load; exceptions; totalHintsInProgress; totalHints
v-3-2-0,org.apache.cassandra.metrics,StorageMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; load; exceptions; totalHintsInProgress; totalHints
v-3-2-0,org.apache.cassandra.metrics,StorageMetrics,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: factory; load; exceptions; totalHintsInProgress; totalHints
v-3-2-0,org.apache.cassandra.metrics,CassandraMetricsRegistry,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: Metrics; mBeanServer; objectName; metric; metric; metric; metric; rateFactor; rateUnit; metric; durationFactor; durationUnit; group; type; name; scope; mBeanName
v-3-2-0,org.apache.cassandra.metrics,CassandraMetricsRegistry,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 65 public methods
v-3-2-0,org.apache.cassandra.metrics,MetricMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,AbstractBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxGaugeMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxGauge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxHistogramMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxHistogram,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxCounterMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxCounter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxMeterMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxMeter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxTimerMBean,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,JmxTimer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,MetricName,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,HintedHandoffMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,DifferencingCounter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,RestorableMeter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,DefaultNameFactory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GROUP_NAME; type; scope
v-3-2-0,org.apache.cassandra.metrics,CQLMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,CQLMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; regularStatementsExecuted; preparedStatementsExecuted; preparedStatementsEvicted; preparedStatementsCount; preparedStatementsRatio
v-3-2-0,org.apache.cassandra.metrics,ThreadPoolMetricNameFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,CommitLogMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
v-3-2-0,org.apache.cassandra.metrics,CommitLogMetrics,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: factory; completedTasks; pendingTasks; totalCommitLogSize; waitingOnSegmentAllocation; waitingOnCommit
v-3-2-0,org.apache.cassandra.metrics,KeyspaceMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
