Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
v-3-2-0,org.apache.cassandra.metrics,EstimatedHistogramReservoir,2,0,11,11,43,11,0,0,0.18181818181818182,0,2,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,27
v-3-2-0,org.apache.cassandra.metrics,HistogramSnapshot,1,0,5,5,19,5,0,0,0.0,1,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,71
v-3-2-0,org.apache.cassandra.metrics,LatencyMetrics,6,2,7,7,88,10,0,0,0.2857142857142857,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/LatencyMetrics.java,32
v-3-2-0,org.apache.cassandra.metrics,BufferPoolMetrics,3,2,2,2,20,2,0,0,1.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/BufferPoolMetrics.java,27
v-3-2-0,org.apache.cassandra.metrics,MetricNameFactory,0,0,1,0,8,1,0,0,-1.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/MetricNameFactory.java,21
v-3-2-0,org.apache.cassandra.metrics,ThreadPoolMetrics,7,6,8,8,112,15,0,0,0.875,3,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ThreadPoolMetrics.java,39
v-3-2-0,org.apache.cassandra.metrics,SEPMetrics,7,6,6,6,70,6,0,0,0.8333333333333334,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/SEPMetrics.java,27
v-3-2-0,org.apache.cassandra.metrics,HintsServiceMetrics,0,0,0,0,5,0,0,0,-1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/HintsServiceMetrics.java,20
v-3-2-0,org.apache.cassandra.metrics,DroppedMessageMetrics,3,3,1,1,23,1,0,0,0.0,0,1,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/DroppedMessageMetrics.java,27
v-3-2-0,org.apache.cassandra.metrics,CASClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/CASClientRequestMetrics.java,27
v-3-2-0,org.apache.cassandra.metrics,ClientRequestMetrics,3,3,2,2,17,2,0,0,1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ClientRequestMetrics.java,29
v-3-2-0,org.apache.cassandra.metrics,CompactionMetrics,7,6,7,7,93,27,0,0,0.2857142857142857,1,4,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/CompactionMetrics.java,36
v-3-2-0,org.apache.cassandra.metrics,ClearableHistogram,1,0,2,2,17,2,0,0,0.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ClearableHistogram.java,24
v-3-2-0,org.apache.cassandra.metrics,ViewWriteMetrics,3,3,3,3,24,3,0,0,0.6666666666666666,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ViewWriteMetrics.java,27
v-3-2-0,org.apache.cassandra.metrics,ReadRepairMetrics,4,3,0,0,9,0,0,0,-1.0,3,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ReadRepairMetrics.java,24
v-3-2-0,org.apache.cassandra.metrics,ConnectionMetrics,14,13,11,11,128,11,0,0,0.9090909090909091,1,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ConnectionMetrics.java,30
v-3-2-0,org.apache.cassandra.metrics,ClientMetrics,2,1,3,2,19,3,0,0,1.0,2,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/ClientMetrics.java,28
v-3-2-0,org.apache.cassandra.metrics,CacheMetrics,9,9,8,5,93,8,0,0,0.25,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/CacheMetrics.java,29
v-3-2-0,org.apache.cassandra.metrics,StreamingMetrics,7,6,2,2,25,3,0,0,1.0,1,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/StreamingMetrics.java,29
v-3-2-0,org.apache.cassandra.metrics,TableMetrics,69,60,62,44,754,142,0,0,0.6129032258064516,7,4,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/TableMetrics.java,40
v-3-2-0,org.apache.cassandra.metrics,GetHistogram,0,0,1,0,3,1,0,0,-1.0,0,0,/Users/armandosoaressousa/git/msr/pilot-test/analises/designite/v-3-2-0/src/java/org/apache/cassandra/metrics/TableMetrics.java,167
