,3021
CHANGES.txt,1453
build.xml,179
NEWS.txt,153
StorageService.java,129
changelog,90
ColumnFamilyStore.java,84
DatabaseDescriptor.java,82
CompactionManager.java,72
cqlsh.py,54
StorageProxy.java,52
SSTableReader.java,52
CassandraDaemon.java,51
cassandra.yaml,49
Config.java,48
copyutil.py,46
SelectStatement.java,43
LegacyLayout.java,42
NodeProbe.java,37
SinglePartitionReadCommand.java,35
MessagingService.java,35
ReadCommand.java,34
CQLTester.java,33
SchemaKeyspace.java,32
SecondaryIndexTest.java,32
Gossiper.java,32
ViewTest.java,31
CFMetaData.java,30
SystemKeyspace.java,30
Instance.java,30
CQL.textile,29
StorageServiceMBean.java,28
CompactionStrategyManager.java,26
SASIIndexTest.java,26
ModificationStatement.java,25
View.java,25
ColumnIndex.java,25
Keyspace.java,25
StatementRestrictions.java,25
QueryProcessor.java,24
DataResolver.java,24
SelectTest.java,24
FBUtilities.java,23
cql3handling.py,22
ActiveRepairService.java,22
CreateViewStatement.java,22
cassandra,22
Directories.java,22
Scrubber.java,21
AlterTest.java,21
SecondaryIndexManager.java,21
CommitLogReplayer.java,21
BatchStatement.java,21
cassandra-env.ps1,21
LegacySchemaMigrator.java,21
AbstractCluster.java,21
NodeTool.java,20
SchemaLoader.java,20
AlterTableStatement.java,20
BigTableWriter.java,20
CommitLog.java,20
LegacySSTableTest.java,20
cassandra-env.sh,20
Util.java,19
AbstractCompactionStrategy.java,19
OutboundTcpConnection.java,19
SSTableReversedIterator.java,19
CompactionTask.java,19
LeveledCompactionStrategy.java,19
index.rst,19
AggregationTest.java,18
formatting.py,18
StartupChecks.java,18
CommitLogSegment.java,18
Selection.java,18
JsonTest.java,18
PartitionUpdate.java,17
Memtable.java,17
FileUtils.java,17
TableMetrics.java,17
Operation.java,17
RowFilter.java,17
config.yml,17
cqlsh,16
UFTest.java,16
MigrationManager.java,16
StressProfile.java,16
DeleteTest.java,16
UnfilteredDeserializer.java,16
StreamSession.java,16
UnfilteredSerializer.java,16
CassandraServer.java,16
MetadataCollector.java,16
AbstractType.java,16
StreamReader.java,15
CompactionController.java,15
CustomIndexTest.java,15
Schema.java,15
LeveledManifest.java,15
UserType.java,15
