,index,name,hash,added_lines,deleted_lines,modifications,old_path,new_path,change_type,nloc,complexity
0,0,StorageService.java,6bad57fc3cf967838a220d8402db37ed9a5b3b4e,31,34,65,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3306.0,717.0
1,1,StorageService.java,6bb6bb005197c33fa94026d472ff78d4f36613cc,31,34,65,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3302.0,703.0
2,2,StorageService.java,9a90e9894e9e079058876cf2b16a47d29ba0a32a,30,31,61,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3344.0,718.0
3,3,StorageService.java,ecd66de2bdf2ecb88c4276a4616a76f5ec2921bb,6,0,6,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3311.0,718.0
4,4,StorageService.java,a8e8a67306c0b26b8fe9c74a1fb00bacfa224cf7,3,0,3,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3314.0,719.0
5,5,StorageService.java,99b82dbb43277035562e7b82bb9bdebd84510e96,5,4,9,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3311.0,705.0
6,6,StorageService.java,ae315b5ec944571342146867c51b2ceb50f3845e,4,5,9,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3351.0,720.0
7,7,StorageService.java,7650fc196341bd673626054593f2ce6e895d7783,27,5,32,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3333.0,726.0
8,8,StorageService.java,51753263a4c4d50c5bbe7bb80636cca5b6458ecf,7,7,14,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3333.0,726.0
9,9,StorageService.java,15f03ab446854cf4d2999c3785d145c89bc3a3e4,5,14,19,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3319.0,710.0
10,10,StorageService.java,9135340a13531930f26fb8175b057342791ff044,22,18,40,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3336.0,727.0
11,11,StorageService.java,94c361d1a7a63490f1b66f5b10e02579516c5eae,4,4,8,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322.0,711.0
12,12,StorageService.java,a018bcb7d7ae74f9fa3f33cce2f0cc0deed6a442,2,1,3,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364.0,726.0
13,13,StorageService.java,01d26dd3fc35a6b22a538f75545b0d9b739ee48d,2,2,4,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3364.0,726.0
14,14,StorageService.java,6ff1cbb3ee1b7e6f261aeb454854dd249ab605df,1,1,2,src/java/org/apache/cassandra/service/StorageService.java,src/java/org/apache/cassandra/service/StorageService.java,MODIFY,3322.0,711.0
