file,modifications
StorageService.java,144
ColumnFamilyStore.java,89
DatabaseDescriptor.java,87
CompactionManager.java,74
StorageProxy.java,53
SSTableReader.java,53
Config.java,52
CassandraDaemon.java,51
SelectStatement.java,44
LegacyLayout.java,42
SinglePartitionReadCommand.java,38
NodeProbe.java,37
ReadCommand.java,36
MessagingService.java,36
Instance.java,36
Gossiper.java,35
CQLTester.java,35
CFMetaData.java,32
SchemaKeyspace.java,32
SecondaryIndexTest.java,32
ViewTest.java,32
SystemKeyspace.java,31
StorageServiceMBean.java,30
SASIIndexTest.java,27
ModificationStatement.java,26
View.java,26
CompactionStrategyManager.java,26
DataResolver.java,26
ColumnIndex.java,25
Keyspace.java,25
StatementRestrictions.java,25
AbstractCluster.java,25
FBUtilities.java,24
QueryProcessor.java,24
SelectTest.java,24
AlterTest.java,23
CreateViewStatement.java,23
ActiveRepairService.java,22
AlterTableStatement.java,22
CommitLogReplayer.java,22
BatchStatement.java,22
Directories.java,22
Scrubber.java,21
SecondaryIndexManager.java,21
BigTableWriter.java,21
CommitLog.java,21
LegacySSTableTest.java,21
LegacySchemaMigrator.java,21
NodeTool.java,20
SchemaLoader.java,20
Util.java,19
PartitionUpdate.java,19
AggregationTest.java,19
AbstractCompactionStrategy.java,19
StartupChecks.java,19
OutboundTcpConnection.java,19
SSTableReversedIterator.java,19
CompactionTask.java,19
LeveledCompactionStrategy.java,19
Memtable.java,18
MigrationManager.java,18
TableMetrics.java,18
CommitLogSegment.java,18
Selection.java,18
JsonTest.java,18
FileUtils.java,17
UFTest.java,17
Operation.java,17
UnfilteredSerializer.java,17
RowFilter.java,17
MetadataCollector.java,17
Schema.java,16
StressProfile.java,16
DeleteTest.java,16
UnfilteredDeserializer.java,16
StreamSession.java,16
LeveledManifest.java,16
Message.java,16
CassandraServer.java,16
AbstractType.java,16
ColumnFilter.java,15
StreamReader.java,15
CompactionController.java,15
CustomIndexTest.java,15
CommitLogTest.java,15
UserType.java,15
InsertUpdateIfConditionTest.java,15
InstanceConfig.java,15
PartitionRangeReadCommand.java,14
ViewBuilder.java,14
CassandraIndexTest.java,14
CQLSSTableWriterTest.java,14
StreamReceiveTask.java,14
LogFile.java,14
LogTransaction.java,14
Server.java,14
JsonTransformer.java,14
DataOutputBuffer.java,13
CQLSSTableWriter.java,13
LeveledCompactionStrategyTest.java,13
