name,modifiedlines
RangeTombstoneList.java,	1
DataIntegrityMetadata.java,	1
DataOutputBuffer.java,	1
ChecksummedDataInput.java,	1
SegmentedFile.java,	1
IncomingTcpConnection.java,	1
PrepareMessage.java,	1
ReceivedMessage.java,	1
RetryMessage.java,	1
MessagingService.java,	1
SSTableRewriter.java,	1
StreamReader.java,	1
SystemKeyspace.java,	1
Upgrader.java,	1
DefaultCompactionWriter.java,	1
MajorLeveledCompactionWriter.java,	1
MaxSSTableSizeWriter.java,	1
SplittingSizeTieredCompactionWriter.java,	1
RealTransactionsTest.java,	1
CommitLog.java,	1
AutoSavingCache.java,	1
SegmentedFile.java,	1
RowIndexEntryTest.java,	1
Config.java,	1
NodeProbe.java,	1
Config.java,	1
SSTableReader.java,	1
ByteBufferUtil.java,	1
StorageServiceMBean.java,	1
RangeStreamer.java,	1
NodeProbe.java,	1
TableStats.java,	1
MemoryMappedSegment.java,	1
CassandraIndex.java,	1
StorageService.java,	1
IndexEntry.java,	1
AbstractAllocator.java,	1
MemtablePool.java,	1
LegacySchemaMigrator.java,	1
Restriction.java,	1
SchemaLoader.java,	1
IMergeIterator.java,	1
RowFilter.java,	1
ColumnFamilyStore.java,	1
Unfiltered.java,	1
ColumnFamilyStore.java,	1
CompressedChecksummedDataInput.java,	1
OutboundTcpConnectionPool.java,	1
StorageService.java,	1
TermIterator.java,	1
OnDiskBlock.java,	1
OnDiskIndexBuilder.java,	1
Operation.java,	1
CombinedTerm.java,	1
CombinedTermIterator.java,	1
RangeIntersectionIterator.java,	1
RangeUnionIterator.java,	1
AbstractCommitLogService.java,	1
AbstractCommitLogService.java,	1
Server.java,	1
SimpleClient.java,	1
StorageService.java,	1
CloseableIterator.java,	1
AbstractSerializationsTester.java,	1
SerializationsTest.java,	1
SSTableExport.java,	1
EncryptionOptions.java,	1
CQLTester.java,	1
TrieMemIndex.java,	1
ComplexColumnData.java,	1
MigrationManager.java,	1
AbstractTokenTreeBuilder.java,	1
Config.java,	1
Config.java,	1
ViewBuilder.java,	1
TombstonesWithIndexedSSTableTest.java,	1
ChannelProxy.java,	1
JsonTransformer.java,	1
SizeTieredCompactionStrategy.java,	1
ExecuteMessage.java,	1
ViewDefinition.java,	1
StatsHolder.java,	1
StatsTable.java,	1
TableStatsPrinter.java,	1
BootStrapper.java,	1
BTree.java,	1
ComplexColumnData.java,	1
CreateKeyspaceStatement.java,	1
