Commits,Frequency
0,441
1,95
2,353
3,251
4,191
5,171
6,165
7,105
8,130
9,84
10,112
11,74
12,73
13,86
14,55
15,63
16,60
17,45
18,60
19,52
20,44
21,28
22,34
23,40
24,38
25,27
26,37
27,30
28,38
29,35
30,17
31,23
32,23
33,24
34,20
35,8
36,34
37,23
38,33
39,28
40,15
41,21
42,20
43,16
44,31
45,16
46,18
47,13
48,22
49,14
50,12
51,12
52,14
53,11
54,10
55,11
56,13
57,19
58,9
59,16
60,10
61,15
62,15
63,21
64,16
65,7
66,13
67,12
68,14
69,18
70,11
71,11
72,16
73,14
74,9
75,11
76,7
77,7
78,13
79,16
80,16
81,10
82,6
83,14
84,14
85,11
86,9
87,2
88,8
89,11
90,6
91,9
92,11
93,15
94,11
95,11
96,13
97,14
98,12
99,7
100,9
101,6
102,6
103,5
104,20
105,6
106,8
107,9
108,7
109,10
110,4
111,8
112,5
113,4
114,13
115,6
116,4
117,4
118,3
119,5
120,4
121,4
122,4
123,4
124,20
125,6
126,4
127,13
128,3
129,6
130,3
131,7
132,5
133,4
134,10
135,8
136,5
137,5
138,5
139,6
140,5
141,2
142,2
144,6
145,4
146,4
147,6
148,5
149,4
150,3
151,10
152,11
153,7
154,3
155,3
156,4
157,3
158,3
159,5
160,8
161,3
162,1
163,5
164,3
165,8
166,2
167,1
168,3
169,2
170,1
171,2
172,2
173,2
174,3
175,4
176,2
177,4
178,3
179,2
180,2
181,3
182,6
183,2
184,8
185,3
186,8
187,4
188,2
189,5
190,3
191,6
192,1
193,5
194,5
195,5
196,3
197,1
199,6
200,3
201,4
202,4
204,2
205,3
206,3
207,5
208,1
209,3
211,7
212,7
213,8
214,3
215,3
216,2
217,2
218,3
219,2
221,2
222,1
223,4
224,4
225,5
226,1
227,1
228,1
229,4
231,1
232,1
233,1
234,1
235,1
237,1
238,1
240,3
241,2
243,3
244,2
245,1
246,3
248,2
249,2
251,1
252,4
253,4
256,1
257,1
258,1
259,4
260,4
261,2
262,4
263,2
264,1
265,2
266,2
267,3
268,1
269,3
270,3
271,3
272,5
274,2
275,2
276,2
278,3
280,2
286,1
287,3
288,1
289,2
290,4
292,4
293,4
294,1
295,2
296,1
297,3
298,4
299,2
300,1
302,6
303,2
304,1
305,1
306,1
310,2
311,4
312,4
313,4
314,1
315,4
316,1
320,1
321,3
322,4
323,1
324,1
325,2
326,2
327,1
328,1
330,1
331,2
334,1
335,2
340,2
341,2
342,2
343,3
344,2
345,1
346,1
348,1
349,1
351,1
352,2
353,1
355,2
356,1
358,2
359,2
360,1
361,1
362,1
363,3
364,4
366,1
367,4
371,1
374,1
375,1
376,5
377,4
379,2
382,1
383,1
385,1
386,1
387,1
392,2
394,2
395,1
396,2
397,1
398,2
399,3
400,1
404,2
407,1
409,1
410,1
413,1
416,2
417,3
418,1
419,1
420,3
421,3
423,2
427,1
428,1
430,1
436,1
438,1
439,1
443,1
445,1
447,2
449,1
451,1
456,2
458,1
460,1
463,1
466,1
467,1
468,1
469,5
472,1
476,1
477,1
478,1
482,2
484,2
487,2
491,1
493,1
494,1
495,1
496,1
497,1
509,1
517,4
518,1
520,1
523,2
524,1
525,1
527,1
530,4
531,1
532,3
535,2
537,1
538,1
539,1
540,1
541,1
545,1
546,1
550,1
551,5
554,1
557,1
571,1
574,1
575,1
577,2
580,1
581,1
582,1
584,1
590,1
599,3
602,1
606,2
607,1
611,3
616,1
617,2
620,1
621,1
622,1
626,1
628,1
632,2
638,1
647,5
652,2
654,2
655,3
658,1
665,1
677,1
699,2
704,1
717,1
718,1
720,2
721,1
724,1
737,1
742,1
743,2
749,1
753,1
757,1
766,1
769,2
772,1
782,1
787,1
788,1
791,1
793,1
794,1
797,1
799,1
801,1
807,1
808,1
810,1
811,1
822,1
823,1
825,2
828,1
831,1
843,4
857,1
862,2
868,1
869,1
871,1
880,1
885,1
892,1
894,1
898,1
905,1
928,2
930,1
938,1
939,2
942,1
944,1
953,1
954,1
961,1
962,1
966,2
977,2
988,1
990,1
1007,1
1013,1
1024,1
1028,1
1043,1
1052,2
1054,2
1088,2
1096,1
1101,2
1109,1
1110,1
1120,1
1144,1
1149,1
1161,1
1168,3
1174,1
1191,1
1210,1
1213,1
1215,1
1218,1
1220,1
1224,1
1226,2
1240,1
1244,2
1258,1
1261,1
1262,1
1264,1
1280,3
1300,1
1328,1
1330,1
1337,2
1345,2
1388,1
1397,1
1451,1
1500,1
1521,3
1535,1
1542,1
1550,1
1551,1
1553,1
1576,1
1588,1
1591,2
1600,1
1601,1
1612,1
1632,1
1689,1
1690,1
1705,1
1727,1
1750,1
1753,1
1771,1
1812,1
1870,3
1878,1
1965,1
1977,1
2092,1
2113,1
2114,1
2118,1
2145,1
2180,1
2221,2
2235,1
2270,1
2275,1
2291,1
2292,1
2313,1
2333,2
2344,1
2355,1
2359,2
2377,1
2432,1
2434,1
2460,1
2461,1
2496,1
2518,1
2534,1
2550,1
2577,1
2674,1
2675,1
2729,1
2730,1
2736,1
2764,1
2785,1
2788,1
2896,1
2925,1
2972,1
2996,1
3010,1
3132,1
3177,1
3219,1
3236,1
3240,1
3289,1
3391,1
3392,1
3444,1
3484,1
3506,1
3561,1
3656,1
3733,1
3851,1
3890,1
3927,1
3972,1
3991,1
4081,1
4148,1
4166,1
4168,1
4178,1
4371,1
4380,1
4424,1
5319,1
5734,1
6375,1
8619,1
8901,1
15248,1
40365,1
